Клиент;Начало оказания услуги;Услуга
Большаков;18.02.2019 18:20;Интенсивный онлайн-курс китайского языка для компаний по Skype
Казаков;15.03.2019 10:50;Урок в группе немецкого языка для школьников
Селиверстов;10.09.2019 18:20;Урок в группе китайского языка для взрослых
Киселёв;06.08.2019 11:50;Индивидуальный онлайн-урок немецкого языка по Skype
Попова;20.08.2019 19:10;Урок в группе китайского языка для школьников
Гущина;15.11.2019 17:50;Подготовка к экзамену ACT
Ершов;03.03.2019 17:20;Индивидуальный урок немецкого языка с русскоязычным преподавателем
Ефимова;21.10.2019 10:20;Индивидуальный урок испанского языка с преподавателем-носителем языка
Агафонов;12.10.2019 8:50;Киноклуб немецкого языка для детей
Суворова;11.11.2019 18:50;Интенсивный онлайн-курс китайского языка для компаний по Skype
Орлова;03.01.2019 14:40;Киноклуб немецкого языка для взрослых
Блохин;06.07.2019 11:30;Киноклуб английского языка для студентов
Турова;25.03.2019 18:20;Занятие с русскоязычным репетитором японского языка
Беляева;27.10.2019 16:20;Индивидуальный урок итальянского языка с русскоязычным преподавателем
Киселёв;15.05.2019 9:20;Урок в группе испанского языка для взрослых
Андреев;30.08.2019 11:40;Киноклуб португальского языка для детей
Бобылёв;16.02.2019 18:50;Индивидуальный урок английского языка с преподавателем-носителем языка
Воронова;24.09.2019 13:40;Занятие с русскоязычным репетитором английского языка
Колобова;09.06.2019 13:40;Занятие с русскоязычным репетитором японского языка
Куликова;13.04.2019 9:00;Урок в группе французского языка для школьников
Селиверстов;05.04.2019 13:20;Урок в группе китайского языка для школьников
